0,1,2,3,4,5
Bottle Up and Go (v. Ledbetter),PT1M13S,Leadbelly,At New York Town Hall 1947,http://ringsushi.com/tone/bottle-up-and-go-v-ledbetter-276777/,Blues/jazz
You're All Talk,PT3M30S,Cheap Trick,In Color,http://ringsushi.com/tone/youre-all-talk-214471/,Other
Root Hoot,PT3M16S,Bo Diddley,The Chess Years - Disc 7 of 12,http://ringsushi.com/tone/root-hoot-277025/,rock
Lorca's Novena,PT4M41S,The Pogues,Hell's Ditch,http://ringsushi.com/tone/lorcas-novena-306811/,Folk Rock
Summer,PT3M42S,Calvin Harris,Summer,http://ringsushi.com/tone/summer-262262/,Other
"Welcome, Ghosts (Adem Mix)",PT6M24S,Explosions In The Sky,All of a Sudden I Miss Everyone (Bonus Disc),http://ringsushi.com/tone/welcome-ghosts-adem-mix-214522/,Other
Bring It to Jerome,PT2M30S,Bo Diddley,His Best,http://ringsushi.com/tone/bring-it-to-jerome-277004/,Soul And R&B
The Moon Is Down,PT10M03S,Explosions In The Sky,"Those Who Tell The Truth Shall Die, Those Who Tell The Truth Shall Live Forever",http://ringsushi.com/tone/the-moon-is-down-214516/,Postrock
Forgive Me,PT5M56S,Yann Tiersen,Skyline,http://ringsushi.com/tone/forgive-me-214875/,Pop Rock
Po' Howard (139-B),PT3M08S,Leadbelly,The Remaining Library of Congress Recordings - Volume 2 1935,http://ringsushi.com/tone/po-howard-139-b-276790/,Blues
500% More Man,PT2M54S,Bo Diddley,The Chess Years - Disc 7 of 12,http://ringsushi.com/tone/500-more-man-277064/,rock
Sarah Garland) (2020-A),PT3M45S,Leadbelly,The Remaining Library of Congress Recordings - Volume 4,http://ringsushi.com/tone/sarah-garland-2020-a-276867/,Blues
Four O'Clock In The Morning,PT3M12S,The Pogues,Pogue Mahone (2004 Remastered & Expanded),http://ringsushi.com/tone/four-oclock-in-the-morning-306875/,Folk Rock
Suite des montagnes,PT3M38S,Alan Stivell,The Best of,http://ringsushi.com/tone/suite-des-montagnes-306994/,"Celtic, Folk, Bretagne, World"
Do You Ever Feel Cursed,PT3M23S,Explosions In The Sky,Friday Night Lights,http://ringsushi.com/tone/do-you-ever-feel-cursed-214489/,Soundtrack
Bright Lights,PT2M38S,The Pogues,Pogue Mahone (2004 Remastered & Expanded),http://ringsushi.com/tone/bright-lights-306831/,Folk Rock
The Hindenburg Disaster (Pt.1),PT1M14S,Leadbelly,Important Recordings: 1934-1949 - Disc A,http://ringsushi.com/tone/the-hindenburg-disaster-pt1-276797/,Blues
Black Spider,PT5M05S,Mogwai,Zidane - A 21st Century Portrait,http://ringsushi.com/tone/black-spider-214691/,Post Rock
Trouble,PT2M42S,Leadbelly,Black folk singers (1937-1946),http://ringsushi.com/tone/trouble-276922/,Blues
"Welcome, Ghosts",PT5M47S,Explosions In The Sky,All Of A Sudden I Miss Everyone,http://ringsushi.com/tone/welcome-ghosts-214523/,Post-Rock
Same Old Thing,PT2M43S,Bo Diddley,The Chess Years - Disc 5 of 12,http://ringsushi.com/tone/same-old-thing-277103/,rock
Babes In The Woods,PT2M12S,Bo Diddley,The Chess Years - Disc 5 of 12,http://ringsushi.com/tone/babes-in-the-woods-276993/,rock
Big City,PT2M42S,The Pogues,Waiting For Herb (2004 Remastered & Expanded),http://ringsushi.com/tone/big-city-306830/,Folk Rock
Point Mort,PT3M38S,Yann Tiersen,Tabarly,http://ringsushi.com/tone/point-mort-214931/,"Classical/Folk, World, & Count"
Marig Ar Pollanton,PT3M46S,Alan Stivell,The Best of,http://ringsushi.com/tone/marig-ar-pollanton-307020/,"Celtic, Folk, Bretagne, World"
Bo Diddley 1969,PT2M37S,Bo Diddley,The Chess Years - Disc 9 of 12,http://ringsushi.com/tone/bo-diddley-1969-276960/,rock
On A Christmas Day,PT2M50S,Leadbelly,Important Recordings: 1934-1949 - Disc D,http://ringsushi.com/tone/on-a-christmas-day-276764/,Blues
My Baby's Gone,PT2M25S,The Pogues,Waiting For Herb (2004 Remastered & Expanded),http://ringsushi.com/tone/my-babys-gone-306878/,Folk Rock
079me,PT3M32S,B Young,,http://ringsushi.com/tone/079me-581121/,
The Parting Song,PT2M55S,Leadbelly,Shout On - Lead Belly Legacy Vol. 3,http://ringsushi.com/tone/the-parting-song-276884/,Blues
Ceux qui sement la mort,PT3M44S,Alan Stivell,Back to Breizh,http://ringsushi.com/tone/ceux-qui-sement-la-mort-307035/,"Celtic, Folk, Bretagne, World"
Comptine D un autre el apres midi,PT2M07S,Yann Tiersen,,http://ringsushi.com/tone/comptine-d-un-autre-el-apres-midi-214866/,Other
The Leaving Of Liverpool (Traditional) (Bonus track),PT3M13S,The Pogues,Red Roses For Me (2004 Remastered & Expanded),http://ringsushi.com/tone/the-leaving-of-liverpool-traditional-bonus-track-306910/,Folk Rock
Daddy I'm Coming Back To You,PT2M48S,Leadbelly,Important Recordings: 1934-1949 - Disc B,http://ringsushi.com/tone/daddy-im-coming-back-to-you-276825/,Blues
Magic Hours,PT8M33S,Explosions In The Sky,"How Strange, Innocence",http://ringsushi.com/tone/magic-hours-214502/,Post-rock
I Don't Like You,PT3M09S,Bo Diddley,The Chess Years - Disc 9 of 12,http://ringsushi.com/tone/i-dont-like-you-277078/,rock
We're In The Same Boat Brother,PT2M20S,Leadbelly,The Definitive Leadbelly,http://ringsushi.com/tone/were-in-the-same-boat-brother-276798/,Blues
Far From Refuge,PT6M52S,God Is An Astronaut,Far From Refuge,http://ringsushi.com/tone/far-from-refuge-214551/,Post-Rock
Gaels' Call,PT6M08S,Alan Stivell,Emerald,http://ringsushi.com/tone/gaels-call-307085/,"Celtic, Folk, Bretagne, World"
Lake Superior,PT1M15S,Leadbelly,"Private Party, Nov 21, 1948",http://ringsushi.com/tone/lake-superior-276882/,Blues
Friend of the Night,PT5M30S,Mogwai,Special Moves,http://ringsushi.com/tone/friend-of-the-night-214714/,Alternative & Punk
Six Days At The Bottom Of The,PT3M53S,Explosions In The Sky,The Earth Is Not A Cold Dead P,http://ringsushi.com/tone/six-days-at-the-bottom-of-the-214508/,Other
Sweet Leaf,PT5M55S,Mogwai,Do The Rock Boogaloo,http://ringsushi.com/tone/sweet-leaf-214777/,Post-Rock
The Neighbourhood,PT2M01S,Yann Tiersen,The Lighthouse / Everything's Calm,http://ringsushi.com/tone/the-neighbourhood-214940/,Alternative
The Wild Rover (Traditional),PT2M37S,The Pogues,Red Roses For Me (2004 Remastered & Expanded),http://ringsushi.com/tone/the-wild-rover-traditional-306961/,Folk Rock
Les Jours Triste,PT3M23S,Yann Tiersen,L'Absente,http://ringsushi.com/tone/les-jours-triste-214916/,Classical
"Irene (Good Night, Irene) (2)",PT1M43S,Leadbelly,Bridging Lead Belly,http://ringsushi.com/tone/irene-good-night-irene-2-276785/,Blues
The Breton Duchy - Dugelezh Vreizh,PT3M04S,Alan Stivell,Before landing,http://ringsushi.com/tone/the-breton-duchy---dugelezh-vreizh-307099/,"Celtic, Folk, Bretagne, World"
Lusk,PT4M08S,Alan Stivell,Emerald,http://ringsushi.com/tone/lusk-307018/,"Celtic, Folk, Bretagne, World"
The Maid Freed From The Gallows (139-A-2),PT1M28S,Leadbelly,The Remaining Library of Congress Recordings - Volume 2 1935,http://ringsushi.com/tone/the-maid-freed-from-the-gallows-139-a-2-276773/,Blues
Smell Of Petroleum,PT3M14S,The Pogues,Waiting For Herb (2004 Remastered & Expanded),http://ringsushi.com/tone/smell-of-petroleum-306775/,Folk Rock
I Bet You Look Good On The Dancefloor,PT2M54S,Arctic Monkeys,"Whatever people say I am, that\\'s what I\\'m not",http://ringsushi.com/tone/i_bet_you_look_good_on_the_dancefloor-169928/,Indie
Medley: The Recruiting Sergeant/The Rocky Road To Dublin/The Galway Races (Traditional),PT4M02S,The Pogues,If I Should Fall From Grace With God (2004 Remastered & Expanded),http://ringsushi.com/tone/medley-the-recruiting-sergeantthe-rocky-road-to-dublinthe-galway-races-traditional-306845/,Folk Rock
"I Love You, I'm Going to Blow Up Your School",PT7M58S,Mogwai,Special Moves,http://ringsushi.com/tone/i-love-you-im-going-to-blow-up-your-school-214730/,Post-Rock
Mairi's Wedding,PT5M55S,Alan Stivell,Brian Boru,http://ringsushi.com/tone/mairis-wedding-307089/,"Celtic, Folk, Bretagne, World"
The Bretons in Britain,PT1M59S,Alan Stivell,Before landing,http://ringsushi.com/tone/the-bretons-in-britain-307027/,"Celtic, Folk, Bretagne, World"
Dust Lane,PT5M11S,Yann Tiersen,Dust Lane,http://ringsushi.com/tone/dust-lane-214870/,Other
The Last 'Leaving Blues',PT2M38S,Leadbelly,The Definitive Leadbelly: 60th Anniversary Edition - CD3,http://ringsushi.com/tone/the-last-leaving-blues-276916/,Blues
Catastrophe And The Cure,PT8M10S,Explosions In The Sky,2008-03-21 - Great American Music Hall,http://ringsushi.com/tone/catastrophe-and-the-cure-214480/,Other
Maidrin Rua,PT1M47S,The Pogues,Hell's Ditch,http://ringsushi.com/tone/maidrin-rua-306888/,Folk Rock
La Dame Du Lac,PT4M35S,Alan Stivell,The Mist of Avalon,http://ringsushi.com/tone/la-dame-du-lac-306986/,"Celtic, Folk, Bretagne, World"
Hesitation Blues,PT2M18S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/hesitation-blues-276829/,Blues
Spring Time In The Rockies,PT3M04S,Leadbelly,The Definitive Leadbelly,http://ringsushi.com/tone/spring-time-in-the-rockies-276771/,Blues
Irene Goodnight (Finale),PT3M38S,Leadbelly,"Leadbelly Live New York 1947 Austin, Texas 1949",http://ringsushi.com/tone/irene-goodnight-finale-276831/,Folk
Stop Coming To My House,PT4M40S,Mogwai,2005 - Goverment Commissions,http://ringsushi.com/tone/stop-coming-to-my-house-214774/,Post-Rock
Burn Girl Prom Queen,PT8M32S,Mogwai,Mogwai EP,http://ringsushi.com/tone/burn-girl-prom-queen-214693/,Alternative
On A Monday (I'm Almost Done),PT2M12S,Leadbelly,Complete Recorded Works 1939-1947 - Volume 6,http://ringsushi.com/tone/on-a-monday-im-almost-done-276876/,Blues
Planedenn,PT3M02S,Alan Stivell,E langonned,http://ringsushi.com/tone/planedenn-307048/,"Celtic, Folk, Bretagne, World"
Let Me In,PT1M55S,Bo Diddley,The Chess Years - Disc 3 of 12,http://ringsushi.com/tone/let-me-in-276945/,rock
Bring It To Jerome (Alt),PT2M42S,Bo Diddley,The Chess Years - Disc 12 of 12,http://ringsushi.com/tone/bring-it-to-jerome-alt-277029/,rock
Goadec Rock,PT5M18S,Alan Stivell,Emerald,http://ringsushi.com/tone/goadec-rock-307137/,"Celtic, Folk, Bretagne, World"
Wrong Side Of Love,PT4M03S,Cheap Trick,Lap Of Luxury,http://ringsushi.com/tone/wrong-side-of-love-214467/,Rock
Small Hours,PT4M40S,The Pogues,Waiting For Herb (2004 Remastered & Expanded),http://ringsushi.com/tone/small-hours-306890/,Folk Rock
The Sun Smells Too Loud,PT6M58S,Mogwai,The Hawk Is Howling,http://ringsushi.com/tone/the-sun-smells-too-loud-214783/,Post-rock
Within My Heart,PT3M25S,Dead By April,Incomparable (Mystery Version 2012),http://ringsushi.com/tone/within-my-heart-246543/,Other
Eyes Of The Angel,PT2M54S,The Pogues,Pogue Mahone (2004 Remastered & Expanded),http://ringsushi.com/tone/eyes-of-the-angel-306905/,Folk Rock
Tight Like Taht [142-A],PT3M10S,Leadbelly,The Titanic,http://ringsushi.com/tone/tight-like-taht-142-a-276816/,Blues
Hesitation Blues [141-A-1],PT2M36S,Leadbelly,The Titanic,http://ringsushi.com/tone/hesitation-blues-141-a-1-276757/,Blues
Azzim's Lectures,PT1M25S,Buckethead,Funnel Weaver,http://ringsushi.com/tone/azzims-lectures-214959/,Other
Hot Buttered Blues,PT3M55S,Bo Diddley,The Chess Years - Disc 9 of 12,http://ringsushi.com/tone/hot-buttered-blues-277088/,rock
Kings Meadow,PT4M42S,Mogwai,The Hawk Is Howling,http://ringsushi.com/tone/kings-meadow-214738/,Other
Moon Baby,PT2M25S,Bo Diddley,The Chess Years - Disc 4 of 12,http://ringsushi.com/tone/moon-baby-277046/,rock
Take Me Back [141-A-2],PT1M25S,Leadbelly,The Titanic,http://ringsushi.com/tone/take-me-back-141-a-2-276794/,Blues
How Do You Know? / Don't Mind the Weather,PT2M20S,Leadbelly,"Bourgeois Blues: Lead Belly Legacy, Volume 2",http://ringsushi.com/tone/how-do-you-know--dont-mind-the-weather-276862/,Blues
Old Smokey (Live),PT3M23S,Bo Diddley,The Chess Years - Disc 6 of 12,http://ringsushi.com/tone/old-smokey-live-276955/,rock
Remurdered,PT6M25S,Mogwai,Rave Tapes,http://ringsushi.com/tone/remurdered-214760/,Alternative
Planxty Noel Hill,PT3M13S,The Pogues,Rum Sodomy & The Lash (2004 Remastered & Expanded),http://ringsushi.com/tone/planxty-noel-hill-306942/,Folk Rock
T. B. Woman Blues,PT3M13S,Leadbelly,King of the 12-String Guitar,http://ringsushi.com/tone/t-b-woman-blues-276772/,Blues
How Come You Do Me Like You Do,PT3M25S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/how-come-you-do-me-like-you-do-276782/,Blues
Ha Ha This Way,PT1M29S,Leadbelly,Complete Recorded Works 1939-1947 - Volume 6,http://ringsushi.com/tone/ha-ha-this-way-276756/,Blues
Point Mirabeau,PT3M32S,The Pogues,Pogue Mahone (2004 Remastered & Expanded),http://ringsushi.com/tone/point-mirabeau-306856/,Folk Rock
Ain't You Glad,PT2M01S,Leadbelly,The Definitive Leadbelly: 60th Anniversary Edition - CD3,http://ringsushi.com/tone/aint-you-glad-276800/,Blues
Turn Yo' Radio On,PT2M12S,Leadbelly,The Definitive Leadbelly,http://ringsushi.com/tone/turn-yo-radio-on-276818/,Blues
Girl From The Wadi Hammamat,PT4M53S,The Pogues,Waiting For Herb (2004 Remastered & Expanded),http://ringsushi.com/tone/girl-from-the-wadi-hammamat-306841/,Folk Rock
Hey! Bo Diddley,PT2M14S,Bo Diddley,His Best,http://ringsushi.com/tone/hey-bo-diddley-277039/,Soul And R&B
The Long Spring,PT5M34S,Explosions In The Sky,TRR50 Thank You,http://ringsushi.com/tone/the-long-spring-214515/,Other
Mistreatin' Mamma,PT1M25S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/mistreatin-mamma-276761/,Blues
Shut Up Woman,PT3M46S,Bo Diddley,The Chess Years - Disc 9 of 12,http://ringsushi.com/tone/shut-up-woman-277048/,rock
Dearest Darling (Alt),PT3M18S,Bo Diddley,The Chess Years - Disc 12 of 12,http://ringsushi.com/tone/dearest-darling-alt-277055/,rock
"Ha, Ha This A Way",PT1M36S,Leadbelly,Complete Recorded Works 1947-1949 Volume 7,http://ringsushi.com/tone/ha-ha-this-a-way-276828/,Blues
Didn't Old John Cross The Water,PT2M01S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/didnt-old-john-cross-the-water-276748/,Blues
Diggin' My Potatoes,PT2M37S,Leadbelly,Complete Recorded Works 1939-1947 Volume 5,http://ringsushi.com/tone/diggin-my-potatoes-276749/,blues
First Rendez-Vous,PT4M45S,Yann Tiersen,Good bye Lenin !,http://ringsushi.com/tone/first-rendez-vous-214874/,Other
La Blessure D'arthur,PT2M03S,Alan Stivell,The Mist of Avalon,http://ringsushi.com/tone/la-blessure-darthur-307116/,"Celtic, Folk, Bretagne, World"
Scotland s Shame,PT6M31S,Mogwai,Special Moves extra tracks on vinyl and CD download,http://ringsushi.com/tone/scotlands-shame-214765/,Post-Rock
Hong Kong Mississippi,PT2M59S,Bo Diddley,The Chess Years - Disc 4 of 12,http://ringsushi.com/tone/hong-kong-mississippi-276987/,rock
Julianne Johnson,PT3M14S,Leadbelly,The Definitive Lead Belly (CD 2),http://ringsushi.com/tone/julianne-johnson-276760/,Blues
Trembling Hands,PT3M31S,Explosions In The Sky,"Take Care, Take Care, Take Care",http://ringsushi.com/tone/trembling-hands-214521/,Post-Rock
Hate The Club (feat. Masego),PT4M39S,Kehlani,,http://ringsushi.com/tone/hate-the-club-feat-masego-580567/,
Fairytale Of New York,PT4M37S,The Pogues,If I Should Fall From Grace With God,http://ringsushi.com/tone/fairytale-of-new-york-306795/,Folk Rock
She's Alright (Unedited),PT4M23S,Bo Diddley,The Chess Years - Disc 12 of 12,http://ringsushi.com/tone/shes-alright-unedited-277080/,rock
"Yeah, Yeah, Yeah, Yeah, Yeah",PT5M40S,The Pogues,"Streams Of Whiskey - Live In Leysin, Switzerland 1991",http://ringsushi.com/tone/yeah-yeah-yeah-yeah-yeah-306916/,Folk Rock
Pick A Bale O' Cotton (150-B-1),PT58S,Leadbelly,The Remaining Library of Congress Recordings - Volume 3,http://ringsushi.com/tone/pick-a-bale-o-cotton-150-b-1-276789/,Blues
First Day Of Forever,PT3M18S,The Pogues,Waiting For Herb (2004 Remastered & Expanded),http://ringsushi.com/tone/first-day-of-forever-306896/,Folk Rock
Western Plain,PT2M44S,Leadbelly,Complete Recorded Works 1939-1947 Vol 4,http://ringsushi.com/tone/western-plain-276903/,Blues
Jack's Heroes,PT3M06S,The Pogues,Hell's Ditch (2005 Remastered & Expanded),http://ringsushi.com/tone/jacks-heroes-306957/,Folk Rock
5 Green Queens And Jean,PT2M36S,The Pogues,Hell's Ditch,http://ringsushi.com/tone/5-green-queens-and-jean-306872/,Folk Rock
World's Greatest Lover,PT4M50S,Cheap Trick,All Shook Up,http://ringsushi.com/tone/worlds-greatest-lover-214465/,Other
Old Ship Of Zion (Live),PT1M57S,Leadbelly,Complete Recorded Works 1947-1949 Volume 7,http://ringsushi.com/tone/old-ship-of-zion-live-276915/,Blues
If The Bible's Right,PT3M05S,Bo Diddley,The Chess Years - Disc 9 of 12,http://ringsushi.com/tone/if-the-bibles-right-277009/,rock
Shorty George (149-B),PT4M41S,Leadbelly,The Remaining Library of Congress Recordings - Volume 3,http://ringsushi.com/tone/shorty-george-149-b-276770/,Blues
Another Shore,PT4M54S,Yann Tiersen,Skyline,http://ringsushi.com/tone/another-shore-214855/,Alternative
I Said Shut Up Woman,PT3M26S,Bo Diddley,The Chess Years - Disc 10 of 12,http://ringsushi.com/tone/i-said-shut-up-woman-277000/,rock
Unititled Instrumental,PT2M21S,Bo Diddley,The Chess Years - Disc 4 of 12,http://ringsushi.com/tone/unititled-instrumental-277062/,rock
Where That Love's Been Gone,PT3M51S,The Pogues,Pogue Mahone (2004 Remastered & Expanded),http://ringsushi.com/tone/where-that-loves-been-gone-306895/,Folk Rock
In My Time Of Dying,PT3M17S,Leadbelly,Black folk singers (1937-1946),http://ringsushi.com/tone/in-my-time-of-dying-276873/,Blues
I've Got A Feeling,PT2M41S,Bo Diddley,The Chess Years - Disc 9 of 12,http://ringsushi.com/tone/ive-got-a-feeling-277001/,rock
Black Woman,PT2M48S,Bo Diddley,The Chess Years - Disc 9 of 12,http://ringsushi.com/tone/black-woman-277053/,rock
T.B. Woman Blues,PT3M09S,Leadbelly,Important Recordings: 1934-1949 - Disc B,http://ringsushi.com/tone/tb-woman-blues-276902/,Blues
Red River-Black Girl (In The Pines)-Don't Miss Your Water Blues,PT4M16S,Leadbelly,Complete Recorded Works 1939-1947 Volume 2 - C. October 1943 To 25 April 1944,http://ringsushi.com/tone/red-river-black-girl-in-the-pines-dont-miss-your-water-blues-276878/,Blues
"You Can't Lose A Me, Charlie",PT1M36S,Leadbelly,Complete Recorded Works 1947-1949 Volume 7,http://ringsushi.com/tone/you-cant-lose-a-me-charlie-276857/,Blues
Forever Lost,PT6M20S,God Is An Astronaut,"All is Violent, All is Bright",http://ringsushi.com/tone/forever-lost-214554/,Post Rock
Blood Bayou,PT2M57S,Buckethead,Slaughterhouse on the Prairie,http://ringsushi.com/tone/blood-bayou-214977/,Instrumental Rock
Call Me (Bo's Blues),PT2M35S,Bo Diddley,The Chess Years - Disc 4 of 12,http://ringsushi.com/tone/call-me-bos-blues-276962/,rock
"You Can't Lose Me, Cholly",PT2M40S,Leadbelly,Lead Belly Sings for Children,http://ringsushi.com/tone/you-cant-lose-me-cholly-276894/,Folk
Bastard Landlord,PT3M09S,The Pogues,Hell's Ditch (2005 Remastered & Expanded),http://ringsushi.com/tone/bastard-landlord-306917/,Folk Rock
Irene Goodnight,PT3M39S,Leadbelly,Irene Goodnight,http://ringsushi.com/tone/irene-goodnight-276832/,Blues
Bottle Of Smoke,PT2M47S,The Pogues,If I Should Fall From Grace With God,http://ringsushi.com/tone/bottle-of-smoke-306784/,Folk Rock
The Precipice,PT6M42S,Mogwai,The Hawk Is Howling,http://ringsushi.com/tone/the-precipice-214782/,Post-Rock
Black Betty,PT1M53S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/black-betty-276776/,Blues
Anniversary,PT4M07S,The Pogues,Pogue Mahone (2004 Remastered & Expanded),http://ringsushi.com/tone/anniversary-306794/,Folk Rock
Last Known Surroundings,PT8M22S,Explosions In The Sky,"Take Care, Take Care, Take Care",http://ringsushi.com/tone/last-known-surroundings-214498/,Post-Rock
Summer,PT4M27S,Mogwai,Ten Rapid,http://ringsushi.com/tone/summer-214775/,Post-Rock
Sad Sack,PT2M37S,Bo Diddley,The Chess Years - Disc 5 of 12,http://ringsushi.com/tone/sad-sack-276956/,rock
Prayer [4472-A-3],PT2M11S,Leadbelly,Go Down Old Hannah,http://ringsushi.com/tone/prayer-4472-a-3-276811/,Blues
Blind Lemon,PT1M43S,Leadbelly,Where Did You Sleep Last Night? - Lead Belly Legacy Volume 1,http://ringsushi.com/tone/blind-lemon-276904/,Folk
Nobody Knows the Trouble I've Seen [2503-A-1],PT2M15S,Leadbelly,Nobody Knows The Trouble I've Seen,http://ringsushi.com/tone/nobody-knows-the-trouble-ive-seen-2503-a-1-276810/,Blues
You Know I Got To Do It,PT52S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/you-know-i-got-to-do-it-276912/,Blues
Hound of Winter,PT3M54S,Mogwai,Earth Division EP,http://ringsushi.com/tone/hound-of-winter-214723/,Other
Sweet Deliverance,PT4M36S,God Is An Astronaut,A Moment of Stillness,http://ringsushi.com/tone/sweet-deliverance-214588/,Rock
Blind Cyclops,PT4M10S,Buckethead,The Silent Picture Book,http://ringsushi.com/tone/blind-cyclops-214976/,Other
Children's Blues,PT2M28S,Leadbelly,The Definitive Leadbelly,http://ringsushi.com/tone/childrens-blues-276823/,Blues
Briste leathair pheadair mairseal a'chearc,PT1M55S,Alan Stivell,E langonned,http://ringsushi.com/tone/briste-leathair-pheadair-mairseal-achearc-307131/,"Celtic, Folk, Bretagne, World"
(What Are) Little Boys (Made Of)-Let Me Hold Your Hand (All For You)-Polly Wolly (Polly) Wee,PT2M20S,Leadbelly,Complete Recorded Works 1939-1947 Volume 2 - C. October 1943 To 25 April 1944,http://ringsushi.com/tone/what-are-little-boys-made-of-let-me-hold-your-hand-all-for-you-polly-wolly-polly-wee-276819/,Blues
Guardians of Space,PT3M34S,Mogwai,4 Satin,http://ringsushi.com/tone/guardians-of-space-214719/,Other
Frankie & Albert - Part 2,PT3M05S,Leadbelly,The Definitive Leadbelly: 60th Anniversary Edition - CD1,http://ringsushi.com/tone/frankie--albert---part-2-276754/,Blues
More Yet / Little Boy How Old Are You / Green Grass Growing All Around,PT2M54S,Leadbelly,Shout On - Lead Belly Legacy Vol. 3,http://ringsushi.com/tone/more-yet--little-boy-how-old-are-you--green-grass-growing-all-around-276908/,Blues
Mr. Hitler [6407-B-2],PT4M19S,Leadbelly,Let It Shine On Me,http://ringsushi.com/tone/mr-hitler-6407-b-2-276763/,Blues
The Terrace,PT2M56S,Yann Tiersen,The Lighthouse / Everything's Calm,http://ringsushi.com/tone/the-terrace-214941/,Alternative
Winnsboro Cotton Mill Blues,PT2M18S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/winnsboro-cotton-mill-blues-276926/,Blues
Batcat,PT5M24S,Mogwai,The Hawk Is Howling,http://ringsushi.com/tone/batcat-214690/,Post-rock
Tuner,PT2M17S,Mogwai,Tuner / Lower,http://ringsushi.com/tone/tuner-214789/,Post-Rock
Klepsi senin mi,PT3M54S,Tarkan,Dance News vol.2,http://ringsushi.com/tone/Klepsi_senin_mi-43618/,Other
Bounce (N Y -L A ),PT3M42S,Tarkan,,http://ringsushi.com/tone/Bounce_N_Y_-L_A_-13255/,Other
Take It All Off,PT3M17S,Bo Diddley,The Chess Years - Disc 10 of 12,http://ringsushi.com/tone/take-it-all-off-277081/,rock
Shanne Bradley,PT3M41S,The Pogues,If I Should Fall From Grace With God (2004 Remastered & Expanded),http://ringsushi.com/tone/shanne-bradley-306943/,Folk Rock
Won't Take No for an Answer,PT3M14S,Cheap Trick,Next Position Please,http://ringsushi.com/tone/wont-take-no-for-an-answer-214463/,Hard Rock
London Stomp,PT2M27S,Bo Diddley,The Chess Years - Disc 6 of 12,http://ringsushi.com/tone/london-stomp-277101/,rock
Cowboy Song,PT1M46S,Leadbelly,"Bourgeois Blues: Lead Belly Legacy, Volume 2",http://ringsushi.com/tone/cowboy-song-276898/,Blues
I'll Be Down On The Last Bread Wagon,PT3M35S,Leadbelly,Lead Belly's Last Sessions,http://ringsushi.com/tone/ill-be-down-on-the-last-bread-wagon-276848/,Blues
Does This Always Happen?,PT4M45S,Mogwai,Earth Division EP,http://ringsushi.com/tone/does-this-always-happen-214702/,Post-Rock
Rock Action,PT1M04S,Mogwai,Ten Rapid,http://ringsushi.com/tone/rock-action-214761/,Instrumental Pop
Devil Rides,PT4M00S,Mogwai,Batcat,http://ringsushi.com/tone/devil-rides-214700/,Post-Rock
You're All I Wanna Do,PT4M04S,Cheap Trick,Woke Up With a Monster,http://ringsushi.com/tone/youre-all-i-wanna-do-214470/,Rock
Ain't Goin' Study War No More [4471-B-6],PT1M26S,Leadbelly,Go Down Old Hannah,http://ringsushi.com/tone/aint-goin-study-war-no-more-4471-b-6-276744/,Blues
Before You Accuse Me,PT3M08S,Bo Diddley,His Best,http://ringsushi.com/tone/before-you-accuse-me-277052/,Soul And R&B
A Rainy Night In Soho (1991 Version) (Bonus track),PT4M48S,The Pogues,Hell's Ditch (2005 Remastered & Expanded),http://ringsushi.com/tone/a-rainy-night-in-soho-1991-version-bonus-track-306962/,Folk Rock
Go For Broke,PT3M04S,Bo Diddley,The Chess Years - Disc 10 of 12,http://ringsushi.com/tone/go-for-broke-277034/,rock
Chandelier,PT1M17S,Sia,,http://ringsushi.com/tone/chandelier-294767/,Other
Dracula Family,PT6M01S,Mogwai,The Hawk Is Howling,http://ringsushi.com/tone/dracula-family-214705/,Post-rock
Congo,PT2M36S,Bo Diddley,The Chess Years - Disc 4 of 12,http://ringsushi.com/tone/congo-276939/,rock
Writing On The Wall,PT3M27S,Cheap Trick,Dream Police,http://ringsushi.com/tone/writing-on-the-wall-214466/,Other
Brittany's,PT5M56S,Alan Stivell,Emerald,http://ringsushi.com/tone/brittanys-306981/,"Celtic, Folk, Bretagne, World"
The Hindenburg Disaster [998-B-2],PT2M15S,Leadbelly,Nobody Knows The Trouble I've Seen,http://ringsushi.com/tone/the-hindenburg-disaster-998-b-2-276739/,Blues
Faded,PT3M15S,Cascada,Perfect Day,http://ringsushi.com/tone/Faded-112755/,Other
I'm Alright (Live),PT4M18S,Bo Diddley,The Chess Years - Disc 6 of 12,http://ringsushi.com/tone/im-alright-live-276974/,rock
Ham And Eggs (4473-B-4),PT3M07S,Leadbelly,The Remaining Library of Congress Recordings - Volume 5 1938-1942,http://ringsushi.com/tone/ham-and-eggs-4473-b-4-276803/,Blues
What's Buggin' You (Crackin' Up) (Live),PT3M28S,Bo Diddley,The Chess Years - Disc 6 of 12,http://ringsushi.com/tone/whats-buggin-you-crackin-up-live-277012/,rock
